Category,Subcategory,Original Title,AWDP Title,Length,Weight,Notes
Tilt Balances,Standard,34" TILT BALANCE,34" Tilt Window Balance – Standard Lift,34, ,
Tilt Balances,Standard,34in TILT BALANCE W/SHOE,34" Tilt Window Balance with Attached Shoe,34, ,
Tilt Balances,Standard,34in TILT BALANCE 20LBS,34" Tilt Window Balance – 20 lb Rating,34,20,
Tilt Balances,Standard,34in TILT BALANCE 25LBS,34" Tilt Window Balance – 25 lb Rating,34,25,
Tilt Balances,Standard,34in TILT BALANCE 30LBS,34" Tilt Window Balance – 30 lb Rating,34,30,
Tilt Balances,Standard,34in TILT BALANCE 35LBS,34" Tilt Window Balance – 35 lb Rating,34,35,
Tilt Balances,Standard,34in TILT BALANCE 40LBS,34" Tilt Window Balance – 40 lb Rating,34,40,
Tilt Balances,Standard,35" TILT BALANCE,35" Tilt Window Balance – Standard Lift,35, ,
Tilt Balances,Standard,35in TILT BALANCE W/SHOE,35" Tilt Window Balance with Attached Shoe,35, ,
Tilt Balances,Standard,35in TILT BALANCE 20LBS,35" Tilt Window Balance – 20 lb Rating,35,20,
Tilt Balances,Standard,35in TILT BALANCE 25LBS,35" Tilt Window Balance – 25 lb Rating,35,25,
Tilt Balances,Standard,35in TILT BALANCE 30LBS,35" Tilt Window Balance – 30 lb Rating,35,30,
Tilt Balances,Standard,35in TILT BALANCE 35LBS,35" Tilt Window Balance – 35 lb Rating,35,35,
Tilt Balances,Standard,35in TILT BALANCE 40LBS,35" Tilt Window Balance – 40 lb Rating,35,40,
Tilt Balances,Standard,36" TILT BALANCE,36" Tilt Window Balance – Standard Lift,36, ,
Tilt Balances,Standard,36in TILT BALANCE W/SHOE,36" Tilt Window Balance with Attached Shoe,36, ,
Tilt Balances,Standard,36in TILT BALANCE 20LBS,36" Tilt Window Balance – 20 lb Rating,36,20,
Tilt Balances,Standard,36in TILT BALANCE 25LBS,36" Tilt Window Balance – 25 lb Rating,36,25,
Tilt Balances,Standard,36in TILT BALANCE 30LBS,36" Tilt Window Balance – 30 lb Rating,36,30,
Tilt Balances,Standard,36in TILT BALANCE 35LBS,36" Tilt Window Balance – 35 lb Rating,36,35,
Tilt Balances,Standard,36in TILT BALANCE 40LBS,36" Tilt Window Balance – 40 lb Rating,36,40,
