ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Meta: _product_addons_exclude_global","Meta: _product_addons","Meta: _oembed_1dd9ecd72d3b2e4263ffeab4d255f05a","Meta: _oembed_time_1dd9ecd72d3b2e4263ffeab4d255f05a","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Meta: _oembed_a15469c46cc932a1871edc6e49ab3c6d","Meta: _oembed_time_a15469c46cc932a1871edc6e49ab3c6d","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global"
12,variable,TEG-RFPI,,"Casement Window Crank Operator | Old Style Part",1,0,visible,"For questions or concerns, please contact info@truthentrygard.com\n\n&nbsp;","Upgrade your casement windows effortlessly with our Old Style Casement Operator Replacement Parts #TEG-RFPI. Specifically designed to replace outdated models from the 1970s, 80s, 90s, and 2000s, this OEM replacement model breathes new life into your windows.\n\nInstalling seamlessly under the wood sill stop cover, our replacement parts offer a seamless transition without the need for extensive modifications. Simply consult the provided pictures and schematic for easy installation guidance.\n\nCustomize your replacement with available ""B"" arm lengths to ensure a perfect fit for your window configuration. Say goodbye to outdated functionality and embrace modern efficiency with our Old Style Casement Operator Replacement Parts #TEG-RFPI.",,,taxable,,1,,,0,0,,,,,0,,,,"Casement Parts, Operators","biltbest, BiltBest window parts, caradco, Caradco parts, casement parts, casement window, crank and handle, crank hardware, double hung window parts, entrygard, Marvin, Oldach, truth casements, window hardware, window parts, window repair, window replacement parts, wood sash",,"https://truthentrygard.com/wp-content/uploads/2022/07/biltbest_operator.jpeg, https://truthentrygard.com/wp-content/uploads/2022/07/Left_Right_Handing_2020_TEG_Old-copy.jpg, https://truthentrygard.com/wp-content/uploads/2022/07/Operator_MAIN_Measurements-3-Copy-copy.jpg",,,,,,,,,0,,Handing,"Left, Right",1,1,Length,"4 7/16"", 3 3/4"", 2 7/8""",1,0,0
72,variation,,,"Casement Window Crank Operator | Old Style Part - Left, 4 7/16""",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,68.88,,,,,,,TEG-RFPI,,,,,,1,,Handing,Left,,1,Length,"4 7/16""",,0,
73,variation,,,"Casement Window Crank Operator | Old Style Part - Left, 3 3/4""",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,68.88,,,,,,,TEG-RFPI,,,,,,2,,Handing,Left,,1,Length,"3 3/4""",,0,
74,variation,,,"Casement Window Crank Operator | Old Style Part - Left, 2 7/8""",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,68.88,,,,,,,TEG-RFPI,,,,,,3,,Handing,Left,,1,Length,"2 7/8""",,0,
75,variation,,,"Casement Window Crank Operator | Old Style Part - Right, 4 7/16""",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,68.88,,,,,,,TEG-RFPI,,,,,,4,,Handing,Right,,1,Length,"4 7/16""",,0,
76,variation,,,"Casement Window Crank Operator | Old Style Part - Right, 3 3/4""",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,68.88,,,,,,,TEG-RFPI,,,,,,5,,Handing,Right,,1,Length,"3 3/4""",,0,
77,variation,,,"Casement Window Crank Operator | Old Style Part - Right, 2 7/8""",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,68.88,,,,,,,TEG-RFPI,,,,,,6,,Handing,Right,,1,Length,"2 7/8""",,0,
95,variable,TEG-bbrp-00016,,"Dual Arm Face Mount Style Window Sash Operator - 24"" to 40"" Wide",1,0,visible,"For questions or concerns, please contact info@truthentrygard.com","Upgrade your window operation effortlessly with our Face Mount Style Operator #RF-14. Choose between left-handed or right-handed based on your lock's position. It fits sash sizes from 24"" to 40"" wide and up to 84"" high, supporting weights up to 108 pounds. With over 7"" of washability, it pairs perfectly with the Maxim 1497 hinge. Use it with #1497 hinge and #11576 Track (sold separately) or opt for the Stainless Steel version for coastal regions.\n\n&nbsp;\n\n<em><strong>**Please note, this is a special order item and non-returnable. Experience superior functionality beyond the ordinary OEM Sill Stop Windows.</strong></em>",,,taxable,,1,,,0,0,,,,,0,,,,"Casement Parts, Cranks and Handle Hardware, Truth® EntryGard® Window Hardware","acadia, biltbest, BiltBest window parts, Caradco parts, casement parts, casement window, Certainteed, crank and handle, crank hardware, dual arm operator, entrygard, face mount, handle hardware, jeld-wen, left hand operator, Marvin, Oldach, right hand operator, sash operator, truth entrygard, truth hardware, window operator, window repair, window replacement parts, window sash operator",,"https://truthentrygard.com/wp-content/uploads/2022/07/biltbest_op.jpeg, https://truthentrygard.com/wp-content/uploads/2022/07/Max_1.jpeg, https://truthentrygard.com/wp-content/uploads/2022/07/Face_Mount_1.jpeg",,,,,,,,,0,,Handing,"Left, Right",1,0,Sizes,"24"", 40"", 84""",1,0,0
96,variation,,,"Dual Arm Face Mount Style Window Sash Operator - 24"" to 40"" Wide - Left, 24""",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,72.88,,,,,,,TEG-bbrp-00016,,,,,,1,,Handing,Left,,0,Sizes,"24""",,0,
97,variation,,,"Dual Arm Face Mount Style Window Sash Operator - 24"" to 40"" Wide - Left, 40""",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,72.88,,,,,,,TEG-bbrp-00016,,,,,,2,,Handing,Left,,0,Sizes,"40""",,0,
98,variation,,,"Dual Arm Face Mount Style Window Sash Operator - 24"" to 40"" Wide - Left, 84""",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,72.88,,,,,,,TEG-bbrp-00016,,,,,,3,,Handing,Left,,0,Sizes,"84""",,0,
99,variation,,,"Dual Arm Face Mount Style Window Sash Operator - 24"" to 40"" Wide - Right, 24""",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,72.88,,,,,,,TEG-bbrp-00016,,,,,,4,,Handing,Right,,0,Sizes,"24""",,0,
