Category,Subcategory,Original Title,AWDP Title,Length,Weight,Notes
2-Spring Balances,Standard,34in 2 SPRING BALANCE 18LBS,34" Dual‑Spring Balance – 18 lb Rating,34,18,
2-Spring Balances,Standard,34in 2 SPRING BALANCE 20LBS,34" Dual‑Spring Balance – 20 lb Rating,34,20,
2-Spring Balances,Standard,34in 2 SPRING BALANCE 22LBS,34" Dual‑Spring Balance – 22 lb Rating,34,22,
2-Spring Balances,Standard,34in 2 SPRING BALANCE 32LBS,34" Dual‑Spring Balance – 32 lb Rating,34,32,
2-Spring Balances,Standard,34in 2 SPRING BALANCE 34LBS,34" Dual‑Spring Balance – 34 lb Rating,34,34,
2-Spring Balances,Standard,34in 2 SPRING BALANCE 36LBS,34" Dual‑Spring Balance – 36 lb Rating,34,36,
2-Spring Balances,Standard,34in 2 SPRING BALANCE 42LBS,34" Dual‑Spring Balance – 42 lb Rating,34,42,
2-Spring Balances,Standard,34in 2 SPRING BALANCE 47LBS,34" Dual‑Spring Balance – 47 lb Rating,34,47,
2-Spring Balances,Standard,34in 2 SPRING BALANCE 49LBS,34" Dual‑Spring Balance – 49 lb Rating,34,49,
2-Spring Balances,Standard,34in 2 SPRING BALANCE 52LBS,34" Dual‑Spring Balance – 52 lb Rating,34,52,
2-Spring Balances,Standard,34in 2 SPRING BALANCE 55LBS,34" Dual‑Spring Balance – 55 lb Rating,34,55,
2-Spring Balances,Standard,35in 2 SPRING BALANCE 18LBS,35" Dual‑Spring Balance – 18 lb Rating,35,18,
2-Spring Balances,Standard,35in 2 SPRING BALANCE 20LBS,35" Dual‑Spring Balance – 20 lb Rating,35,20,
2-Spring Balances,Standard,35in 2 SPRING BALANCE 22LBS,35" Dual‑Spring Balance – 22 lb Rating,35,22,
2-Spring Balances,Standard,35in 2 SPRING BALANCE 32LBS,35" Dual‑Spring Balance – 32 lb Rating,35,32,
2-Spring Balances,Standard,35in 2 SPRING BALANCE 34LBS,35" Dual‑Spring Balance – 34 lb Rating,35,34,
2-Spring Balances,Standard,35in 2 SPRING BALANCE 36LBS,35" Dual‑Spring Balance – 36 lb Rating,35,36,
2-Spring Balances,Standard,36in 2 SPRING BALANCE 18LBS,36" Dual‑Spring Balance – 18 lb Rating,36,18,
2-Spring Balances,Standard,36in 2 SPRING BALANCE 20LBS,36" Dual‑Spring Balance – 20 lb Rating,36,20,
2-Spring Balances,Standard,36in 2 SPRING BALANCE 22LBS,36" Dual‑Spring Balance – 22 lb Rating,36,22,
2-Spring Balances,Standard,36in 2 SPRING BALANCE 32LBS,36" Dual‑Spring Balance – 32 lb Rating,36,32,
2-Spring Balances,Standard,36in 2 SPRING BALANCE 34LBS,36" Dual‑Spring Balance – 34 lb Rating,36,34,
2-Spring Balances,Standard,36in 2 SPRING BALANCE 36LBS,36" Dual‑Spring Balance – 36 lb Rating,36,36,
