Category,Subcategory,Original Title,AWDP Title,Length,Weight,Notes
Channel Balances,Standard,34" CHANNEL BALANCE,34" Window Channel Balance – Standard Lift,34, ,Duplicate formatting merged
Channel Balances,Standard,34" CHANNEL BALANCE W/ENDS,34" Window Channel Balance with End Clips,34, ,Merged variant
Channel Balances,Standard,34in CHANNEL BALANCE W/62-539,34" Window Channel Balance with Attached Shoe,34, ,Removed SKU code
Channel Balances,Standard,34in CHANNEL BALANCE W/62-543,34" Window Channel Balance with Attached Shoe,34, ,Duplicate group
Channel Balances,Standard,34in CHANNEL BALANCE 32LBS,34" Window Channel Balance – 32 lb Rating,34,32,
Channel Balances,Standard,34in CHANNEL BALANCE 35LBS,34" Window Channel Balance – 35 lb Rating,34,35,
Channel Balances,Standard,34in CHANNEL BALANCE 40LBS,34" Window Channel Balance – 40 lb Rating,34,40,
Channel Balances,Standard,34in CHANNEL BALANCE 42LBS,34" Window Channel Balance – 42 lb Rating,34,42,
Channel Balances,Standard,34in CHANNEL BALANCE 45LBS,34" Window Channel Balance – 45 lb Rating,34,45,
Channel Balances,Standard,34in CHANNEL BALANCE 49LBS,34" Window Channel Balance – 49 lb Rating,34,49,
Channel Balances,Standard,34in CHANNEL BALANCE 55LBS,34" Window Channel Balance – 55 lb Rating,34,55,
Channel Balances,Standard,34in CHANNEL BALANCE 60LBS,34" Window Channel Balance – 60 lb Rating,34,60,
Channel Balances,Standard,34in CHANNEL BALANCE 65LBS,34" Window Channel Balance – 65 lb Rating,34,65,
Channel Balances,Standard,34in CHANNEL BALANCE 70LBS,34" Window Channel Balance – 70 lb Rating,34,70,
Channel Balances,Standard,34in CHANNEL BALANCE 75LBS,34" Window Channel Balance – 75 lb Rating,34,75,
Channel Balances,Standard,34in CHANNEL BALANCE 80LBS,34" Window Channel Balance – 80 lb Rating,34,80,
Channel Balances,Standard,34in CHANNEL BALANCE 85LBS,34" Window Channel Balance – 85 lb Rating,34,85,
Channel Balances,Standard,34in CHANNEL BALANCE 90LBS,34" Window Channel Balance – 90 lb Rating,34,90,
Channel Balances,Standard,34in CHANNEL BALANCE 95LBS,34" Window Channel Balance – 95 lb Rating,34,95,
Channel Balances,Standard,34in CHANNEL BALANCE 100LBS,34" Window Channel Balance – 100 lb Rating,34,100,
Channel Balances,Standard,35" CHANNEL BALANCE,35" Window Channel Balance – Standard Lift,35, ,
Channel Balances,Standard,35" CHANNEL BALANCE W/ENDS,35" Window Channel Balance with End Clips,35, ,
Channel Balances,Standard,35in CHANNEL BALANCE W/62-539,35" Window Channel Balance with Attached Shoe,35, ,
Channel Balances,Standard,35in CHANNEL BALANCE W/62-543,35" Window Channel Balance with Attached Shoe,35, ,
Channel Balances,Standard,35in CHANNEL BALANCE 32LBS,35" Window Channel Balance – 32 lb Rating,35,32,
Channel Balances,Standard,35in CHANNEL BALANCE 35LBS,35" Window Channel Balance – 35 lb Rating,35,35,
Channel Balances,Standard,35in CHANNEL BALANCE 40LBS,35" Window Channel Balance – 40 lb Rating,35,40,
Channel Balances,Standard,35in CHANNEL BALANCE 42LBS,35" Window Channel Balance – 42 lb Rating,35,42,
Channel Balances,Standard,35in CHANNEL BALANCE 45LBS,35" Window Channel Balance – 45 lb Rating,35,45,
Channel Balances,Standard,35in CHANNEL BALANCE 49LBS,35" Window Channel Balance – 49 lb Rating,35,49,
Channel Balances,Standard,35in CHANNEL BALANCE 55LBS,35" Window Channel Balance – 55 lb Rating,35,55,
Channel Balances,Standard,35in CHANNEL BALANCE 60LBS,35" Window Channel Balance – 60 lb Rating,35,60,
Channel Balances,Standard,35in CHANNEL BALANCE 65LBS,35" Window Channel Balance – 65 lb Rating,35,65,
Channel Balances,Standard,35in CHANNEL BALANCE 70LBS,35" Window Channel Balance – 70 lb Rating,35,70,
Channel Balances,Standard,35in CHANNEL BALANCE 75LBS,35" Window Channel Balance – 75 lb Rating,35,75,
Channel Balances,Standard,35in CHANNEL BALANCE 80LBS,35" Window Channel Balance – 80 lb Rating,35,80,
Channel Balances,Standard,35in CHANNEL BALANCE 85LBS,35" Window Channel Balance – 85 lb Rating,35,85,
Channel Balances,Standard,35in CHANNEL BALANCE 90LBS,35" Window Channel Balance – 90 lb Rating,35,90,
