Category,Subcategory,Original Title,AWDP Title,Length,Weight,Notes
Hinges,Egress,TRUTH EGRESS HINGE LH,Left‑Hand Egress Casement Hinge,, ,
Hinges,Egress,TRUTH EGRESS HINGE RH,Right‑Hand Egress Casement Hinge,, ,
Hinges,Standard,TRUTH HINGE LH,Left‑Hand Casement Hinge,, ,
Hinges,Standard,TRUTH HINGE RH,Right‑Hand Casement Hinge,, ,
Hinges,Standard,CASEMENT HINGE LH,Left‑Hand Casement Hinge,, ,
Hinges,Standard,CASEMENT HINGE RH,Right‑Hand Casement Hinge,, ,
Hinges,Stainless,STAINLESS CASEMENT HINGE LH,Left‑Hand Stainless Casement Hinge,, ,
Hinges,Stainless,STAINLESS CASEMENT HINGE RH,Right‑Hand Stainless Casement Hinge,, ,
Hinges,Awning,AWNING HINGE 10",10" Awning Window Hinge,10, ,
Hinges,Awning,AWNING HINGE 14",14" Awning Window Hinge,14, ,
Hinges,Awning,AWNING HINGE 20",20" Awning Window Hinge,20, ,

Locks,Sash Lock,SASH LOCK WHITE,White Window Sash Lock,, ,
Locks,Sash Lock,SASH LOCK BRONZE,Bronze Window Sash Lock,, ,
Locks,Sash Lock,SASH LOCK BEIGE,Beige Window Sash Lock,, ,
Locks,Sash Lock,SASH LOCK BLACK,Black Window Sash Lock,, ,
Locks,Sash Lock,TRUTH SASH LOCK,Truth‑Style Window Sash Lock,, ,
Locks,Sash Lock,LOW PROFILE SASH LOCK,Low‑Profile Window Sash Lock,, ,

Locks,Keeper,SASH KEEPER WHITE,White Window Keeper,, ,
Locks,Keeper,SASH KEEPER BRONZE,Bronze Window Keeper,, ,
Locks,Keeper,SASH KEEPER BEIGE,Beige Window Keeper,, ,
Locks,Keeper,SASH KEEPER BLACK,Black Window Keeper,, ,
Locks,Keeper,TRUTH SASH KEEPER,Truth‑Style Window Keeper,, ,
Locks,Keeper,LOW PROFILE SASH KEEPER,Low‑Profile Window Keeper,, ,

Locks,Multi‑Point,TRUTH MULTIPOINT KEEPER,Multipoint Lock Keeper,, ,
Locks,Multi‑Point,MULTIPOINT STRIKE PLATE,Multipoint Strike Plate,, ,
Locks,Multi‑Point,MULTIPOINT RECEIVER,Multipoint Lock Receiver,, ,

Locks,Casement Lock,CASEMENT LOCK WHITE,White Casement Window Lock,, ,
Locks,Casement Lock,CASEMENT LOCK BRONZE,Bronze Casement Window Lock,, ,
Locks,Casement Lock,CASEMENT LOCK BEIGE,Beige Casement Window Lock,, ,
Locks,Casement Lock,CASEMENT LOCK BLACK,Black Casement Window Lock,, ,

Locks,Awning Lock,AWNING LOCK WHITE,White Awning Window Lock,, ,
Locks,Awning,AWNING LOCK BRONZE,Bronze Awning Window Lock,, ,
Locks,Awning,AWNING LOCK BEIGE,Beige Awning Window Lock,, ,
Locks,Awning,AWNING LOCK BLACK,Black Awning Window Lock,, ,
