Category,Subcategory,Original Title,AWDP Title,Length,Weight,Notes
Ribbed Balances,Standard,34" RIBBED BALANCE,34" Ribbed Window Balance – Standard Lift,34, ,Merged formatting
Ribbed Balances,Standard,34" RIBBED BALANCE W/ENDS,34" Ribbed Window Balance with End Clips,34, ,
Ribbed Balances,Standard,34in RIBBED BALANCE W/62-511,34" Ribbed Window Balance with Attached Shoe,34, ,
Ribbed Balances,Standard,34in WHITE RIBBED BALANCE,34" White Ribbed Window Balance,34, ,
Ribbed Balances,Standard,34in BEIGE RIBBED BALANCE,34" Beige Ribbed Window Balance,34, ,
Ribbed Balances,Standard,34in MILL RIBBED BALANCE,34" Mill Ribbed Window Balance,34, ,
Ribbed Balances,Standard,34in RIBBED BALANCE 24LBS,34" Ribbed Window Balance – 24 lb Rating,34,24,
Ribbed Balances,Standard,34in RIBBED BALANCE 29LBS,34" Ribbed Window Balance – 29 lb Rating,34,29,
Ribbed Balances,Standard,35" RIBBED BALANCE,35" Ribbed Window Balance – Standard Lift,35, ,
Ribbed Balances,Standard,35" RIBBED BALANCE W/ENDS,35" Ribbed Window Balance with End Clips,35, ,
Ribbed Balances,Standard,35in RIBBED BALANCE W/62-511,35" Ribbed Window Balance with Attached Shoe,35, ,
Ribbed Balances,Standard,35in WHITE RIBBED BALANCE,35" White Ribbed Window Balance,35, ,
Ribbed Balances,Standard,35in BEIGE RIBBED BALANCE,35" Beige Ribbed Window Balance,35, ,
Ribbed Balances,Standard,35in MILL RIBBED BALANCE,35" Mill Ribbed Window Balance,35, ,
Ribbed Balances,Standard,35in RIBBED BALANCE 24LBS,35" Ribbed Window Balance – 24 lb Rating,35,24,
Ribbed Balances,Standard,35in RIBBED BALANCE 29LBS,35" Ribbed Window Balance – 29 lb Rating,35,29,
Ribbed Balances,Standard,36" RIBBED BALANCE,36" Ribbed Window Balance – Standard Lift,36, ,
Ribbed Balances,Standard,36" RIBBED BALANCE W/ENDS,36" Ribbed Window Balance with End Clips,36, ,
Ribbed Balances,Standard,36in RIBBED BALANCE W/62-511,36" Ribbed Window Balance with Attached Shoe,36, ,
Ribbed Balances,Standard,36in WHITE RIBBED BALANCE,36" White Ribbed Window Balance,36, ,
Ribbed Balances,Standard,36in BEIGE RIBBED BALANCE,36" Beige Ribbed Window Balance,36, ,
Ribbed Balances,Standard,36in MILL RIBBED BALANCE,36" Mill Ribbed Window Balance,36, ,
Ribbed Balances,Standard,36in RIBBED BALANCE 24LBS,36" Ribbed Window Balance – 24 lb Rating,36,24,
Ribbed Balances,Standard,36in RIBBED BALANCE 29LBS,36" Ribbed Window Balance – 29 lb Rating,36,29,
